TRACE STARTED

00:0200  4A B9  TST.L   ($00A10008)              A0=00000000 A1=00000000 A2=00000000 A3=00000000 A4=00000000 A5=00000000 A6=00000000 A7=00FF0C00 D0=00000000 D1=00000000 D2=00000000 D3=00000000 D4=00000000 D5=00000000 D6=00000000 D7=00000000 xnzvc
00:0206  66 06  BNE     #$06 [00:020E]           A0=00000000 A1=00000000 A2=00000000 A3=00000000 A4=00000000 A5=00000000 A6=00000000 A7=00FF0C00 D0=00000000 D1=00000000 D2=00000000 D3=00000000 D4=00000000 D5=00000000 D6=00000000 D7=00000000 xnZvc
00:0208  4A 79  TST.W   ($00A1000C)              A0=00000000 A1=00000000 A2=00000000 A3=00000000 A4=00000000 A5=00000000 A6=00000000 A7=00FF0C00 D0=00000000 D1=00000000 D2=00000000 D3=00000000 D4=00000000 D5=00000000 D6=00000000 D7=00000000 xnZvc
00:020E  66 7C  BNE     #$7C [00:028C]           A0=00000000 A1=00000000 A2=00000000 A3=00000000 A4=00000000 A5=00000000 A6=00000000 A7=00FF0C00 D0=00000000 D1=00000000 D2=00000000 D3=00000000 D4=00000000 D5=00000000 D6=00000000 D7=00000000 xnZvc
00:0210  4B FA  LEA     $007C(PC),A5             A0=00000000 A1=00000000 A2=00000000 A3=00000000 A4=00000000 A5=00000000 A6=00000000 A7=00FF0C00 D0=00000000 D1=00000000 D2=00000000 D3=00000000 D4=00000000 D5=00000000 D6=00000000 D7=00000000 xnZvc
00:0214  4C 9D  MOVEM.W (A5)+,{a7-d0}[00 e0]     A0=00000000 A1=00000000 A2=00000000 A3=00000000 A4=00000000 A5=0000028E A6=00000000 A7=00FF0C00 D0=00000000 D1=00000000 D2=00000000 D3=00000000 D4=00000000 D5=00000000 D6=00000000 D7=00000000 xnZvc
00:0218  4C DD  MOVEM.L (A5)+,{a7-d0}[1f 00]     A0=00000000 A1=00000000 A2=00000000 A3=00000000 A4=00000000 A5=00000294 A6=00000000 A7=00FF0C00 D0=00000000 D1=00000000 D2=00000000 D3=00000000 D4=00000000 D5=FFFF8000 D6=00003FFF D7=00000100 xnZvc
00:021C  10 29  MOVE.B  $EF01(A1),D0             A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002A8 A6=00000000 A7=00FF0C00 D0=00000000 D1=00000000 D2=00000000 D3=00000000 D4=00000000 D5=FFFF8000 D6=00003FFF D7=00000100 xnZvc
00:0220  02 00  ANDI.B  #$0F,D0                  A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002A8 A6=00000000 A7=00FF0C00 D0=00000020 D1=00000000 D2=00000000 D3=00000000 D4=00000000 D5=FFFF8000 D6=00003FFF D7=00000100 xnzvc
00:0224  67 08  BEQ     #$08 [00:022E]           A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002A8 A6=00000000 A7=00FF0C00 D0=00000000 D1=00000000 D2=00000000 D3=00000000 D4=00000000 D5=FFFF8000 D6=00003FFF D7=00000100 xnZvc
00:022E  30 14  MOVE.W  (A4),D0                  A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002A8 A6=00000000 A7=00FF0C00 D0=00000000 D1=00000000 D2=00000000 D3=00000000 D4=00000000 D5=FFFF8000 D6=00003FFF D7=00000100 xnZvc
00:0230  70 00  MOVEQ   #$00,D0                  A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002A8 A6=00000000 A7=00FF0C00 D0=00000208 D1=00000000 D2=00000000 D3=00000000 D4=00000000 D5=FFFF8000 D6=00003FFF D7=00000100 xnzvc
00:0232  2C 40  MOVE.L  D0,A6                    A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002A8 A6=00000000 A7=00FF0C00 D0=00000000 D1=00000000 D2=00000000 D3=00000000 D4=00000000 D5=FFFF8000 D6=00003FFF D7=00000100 xnZvc
00:0234  4E 66  MOVE    A6,USP                   A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002A8 A6=00000000 A7=00FF0C00 D0=00000000 D1=00000000 D2=00000000 D3=00000000 D4=00000000 D5=FFFF8000 D6=00003FFF D7=00000100 xnZvc
00:0236  72 17  MOVEQ   #$17,D1                  A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002A8 A6=00000000 A7=00FF0C00 D0=00000000 D1=00000000 D2=00000000 D3=00000000 D4=00000000 D5=FFFF8000 D6=00003FFF D7=00000100 xnZvc
00:0238  1A 1D  MOVE.B  (A5)+,D5                 A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002A8 A6=00000000 A7=00FF0C00 D0=00000000 D1=00000017 D2=00000000 D3=00000000 D4=00000000 D5=FFFF8000 D6=00003FFF D7=00000100 xnzvc
00:023A  38 85  MOVE.W  D5,(A4)                  A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002A9 A6=00000000 A7=00FF0C00 D0=00000000 D1=00000017 D2=00000000 D3=00000000 D4=00000000 D5=FFFF8004 D6=00003FFF D7=00000100 xnzvc
00:023C  DA 47  ADD.W   D7,D5                    A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002A9 A6=00000000 A7=00FF0C00 D0=00000000 D1=00000017 D2=00000000 D3=00000000 D4=00000000 D5=FFFF8004 D6=00003FFF D7=00000100 xNzvc
00:023E  51 C9  DBFa    D1,#$FFF8 [01:0238]      A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002A9 A6=00000000 A7=00FF0C00 D0=00000000 D1=00000017 D2=00000000 D3=00000000 D4=00000000 D5=FFFF8104 D6=00003FFF D7=00000100 xNzvc
00:0238  1A 1D  MOVE.B  (A5)+,D5                 A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002A9 A6=00000000 A7=00FF0C00 D0=00000000 D1=00000016 D2=00000000 D3=00000000 D4=00000000 D5=FFFF8104 D6=00003FFF D7=00000100 xNzvc
00:023A  38 85  MOVE.W  D5,(A4)                  A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002AA A6=00000000 A7=00FF0C00 D0=00000000 D1=00000016 D2=00000000 D3=00000000 D4=00000000 D5=FFFF8114 D6=00003FFF D7=00000100 xnzvc
00:023C  DA 47  ADD.W   D7,D5                    A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002AA A6=00000000 A7=00FF0C00 D0=00000000 D1=00000016 D2=00000000 D3=00000000 D4=00000000 D5=FFFF8114 D6=00003FFF D7=00000100 xNzvc
