TRACE STARTED

00:03EA  08 38  BTST    #6,($8A5D)               A0=00A10005 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=000000D8 A5=FFFF82C8 A6=E3980000 A7=00FF0BFC D0=00000008 D1=00000000 D2=0000FFFF D3=00000028 D4=00000000 D5=24690095 D6=000000FF D7=00000000 Xnzvc
00:03F0  67 0C  BEQ     #$0C [00:03FE]           A0=00A10005 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=000000D8 A5=FFFF82C8 A6=E3980000 A7=00FF0BFC D0=00000008 D1=00000000 D2=0000FFFF D3=00000028 D4=00000000 D5=24690095 D6=000000FF D7=00000000 Xnzvc
00:03F2  30 39  MOVE.W  ($00C00004),D0           A0=00A10005 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=000000D8 A5=FFFF82C8 A6=E3980000 A7=00FF0BFC D0=00000008 D1=00000000 D2=0000FFFF D3=00000028 D4=00000000 D5=24690095 D6=000000FF D7=00000000 Xnzvc
00:03F8  02 40  ANDI.W  #$0008,D0                A0=00A10005 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=000000D8 A5=FFFF82C8 A6=E3980000 A7=00FF0BFC D0=00000284 D1=00000000 D2=0000FFFF D3=00000028 D4=00000000 D5=24690095 D6=000000FF D7=00000000 Xnzvc
00:03FC  66 EC  BNE     #$EC [00:03EA]           A0=00A10005 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=000000D8 A5=FFFF82C8 A6=E3980000 A7=00FF0BFC D0=00000000 D1=00000000 D2=0000FFFF D3=00000028 D4=00000000 D5=24690095 D6=000000FF D7=00000000 XnZvc
00:03FE  4E 75  RTS                              A0=00A10005 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=000000D8 A5=FFFF82C8 A6=E3980000 A7=00FF0BFC D0=00000000 D1=00000000 D2=0000FFFF D3=00000028 D4=00000000 D5=24690095 D6=000000FF D7=00000000 XnZvc
00:4BF6  60 C4  BRA     #$C4 [00:4BBC]           A0=00A10005 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=000000D8 A5=FFFF82C8 A6=E3980000 A7=00FF0C00 D0=00000000 D1=00000000 D2=0000FFFF D3=00000028 D4=00000000 D5=24690095 D6=000000FF D7=00000000 XnZvc
00:4BBC  11 FC  MOVE.B  #$80,($8A48)             A0=00A10005 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=000000D8 A5=FFFF82C8 A6=E3980000 A7=00FF0C00 D0=00000000 D1=00000000 D2=0000FFFF D3=00000028 D4=00000000 D5=24690095 D6=000000FF D7=00000000 XnZvc
00:4BC2  4B F8  LEA     ($8048),A5               A0=00A10005 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=000000D8 A5=FFFF82C8 A6=E3980000 A7=00FF0C00 D0=00000000 D1=00000000 D2=0000FFFF D3=00000028 D4=00000000 D5=24690095 D6=000000FF D7=00000000 XNzvc
00:4BC6  10 15  MOVE.B  (A5),D0                  A0=00A10005 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=000000D8 A5=FFFF8048 A6=E3980000 A7=00FF0C00 D0=00000000 D1=00000000 D2=0000FFFF D3=00000028 D4=00000000 D5=24690095 D6=000000FF D7=00000000 XNzvc
00:4BC8  02 00  ANDI.B  #$80,D0                  A0=00A10005 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=000000D8 A5=FFFF8048 A6=E3980000 A7=00FF0C00 D0=00000080 D1=00000000 D2=0000FFFF D3=00000028 D4=00000000 D5=24690095 D6=000000FF D7=00000000 XNzvc
00:4BCC  67 0E  BEQ     #$0E [00:4BDC]           A0=00A10005 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=000000D8 A5=FFFF8048 A6=E3980000 A7=00FF0C00 D0=00000080 D1=00000000 D2=0000FFFF D3=00000028 D4=00000000 D5=24690095 D6=000000FF D7=00000000 XNzvc
00:4BCE  31 CD  MOVE.W  A5,($8A4C)               A0=00A10005 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=000000D8 A5=FFFF8048 A6=E3980000 A7=00FF0C00 D0=00000080 D1=00000000 D2=0000FFFF D3=00000028 D4=00000000 D5=24690095 D6=000000FF D7=00000000 XNzvc
00:4BD2  20 6D  MOVE.L  $000C(A5),A0             A0=00A10005 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=000000D8 A5=FFFF8048 A6=E3980000 A7=00FF0C00 D0=00000080 D1=00000000 D2=0000FFFF D3=00000028 D4=00000000 D5=24690095 D6=000000FF D7=00000000 XNzvc
00:4BD6  4E 90  JSR     (A0)                     A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=000000D8 A5=FFFF8048 A6=E3980000 A7=00FF0C00 D0=00000080 D1=00000000 D2=0000FFFF D3=00000028 D4=00000000 D5=24690095 D6=000000FF D7=00000000 XNzvc
01:AB28  61 00  BSR     #$0238 [01:AD62]         A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=000000D8 A5=FFFF8048 A6=E3980000 A7=00FF0BFC D0=00000080 D1=00000000 D2=0000FFFF D3=00000028 D4=00000000 D5=24690095 D6=000000FF D7=00000000 XNzvc
01:AD62  38 7C  MOVE.W  #$0000,A4                A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=000000D8 A5=FFFF8048 A6=E3980000 A7=00FF0BF8 D0=00000080 D1=00000000 D2=0000FFFF D3=00000028 D4=00000000 D5=24690095 D6=000000FF D7=00000000 XNzvc
01:AD66  4A 38  TST.B   ($A39C)                  A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=00000000 A5=FFFF8048 A6=E3980000 A7=00FF0BF8 D0=00000080 D1=00000000 D2=0000FFFF D3=00000028 D4=00000000 D5=24690095 D6=000000FF D7=00000000 XNzvc
01:AD6A  6B 10  BMI     #$10 [01:AD7C]           A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=00000000 A5=FFFF8048 A6=E3980000 A7=00FF0BF8 D0=00000080 D1=00000000 D2=0000FFFF D3=00000028 D4=00000000 D5=24690095 D6=000000FF D7=00000000 XnZvc
01:AD6C  0C 6C  CMPI.W  #$FFF0,$C900(A4)         A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=00000000 A5=FFFF8048 A6=E3980000 A7=00FF0BF8 D0=00000080 D1=00000000 D2=0000FFFF D3=00000028 D4=00000000 D5=24690095 D6=000000FF D7=00000000 XnZvc
01:AD72  66 16  BNE     #$16 [01:AD8A]           A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=00000000 A5=FFFF8048 A6=E3980000 A7=00FF0BF8 D0=00000080 D1=00000000 D2=0000FFFF D3=00000028 D4=00000000 D5=24690095 D6=000000FF D7=00000000 XnzvC
01:AD8A  4E B8  JSR     ($0AD6)                  A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=00000000 A5=FFFF8048 A6=E3980000 A7=00FF0BF8 D0=00000080 D1=00000000 D2=0000FFFF D3=00000028 D4=00000000 D5=24690095 D6=000000FF D7=00000000 XnzvC
00:0AD6  10 2C  MOVE.B  $CA03(A4),D0             A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=00000000 A5=FFFF8048 A6=E3980000 A7=00FF0BF4 D0=00000080 D1=00000000 D2=0000FFFF D3=00000028 D4=00000000 D5=24690095 D6=000000FF D7=00000000 XnzvC
00:0ADA  D1 2C  ADD.B   D0,$C902(A4)             A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=00000000 A5=FFFF8048 A6=E3980000 A7=00FF0BF4 D0=00000060 D1=00000000 D2=0000FFFF D3=00000028 D4=00000000 D5=24690095 D6=000000FF D7=00000000 Xnzvc
00:0ADE  36 2C  MOVE.W  $C900(A4),D3             A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=00000000 A5=FFFF8048 A6=E3980000 A7=00FF0BF4 D0=00000060 D1=00000000 D2=0000FFFF D3=00000028 D4=00000000 D5=24690095 D6=000000FF D7=00000000 xnzvc
00:0AE2  10 2C  MOVE.B  $CA02(A4),D0             A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=00000000 A5=FFFF8048 A6=E3980000 A7=00FF0BF4 D0=00000060 D1=00000000 D2=0000FFFF D3=000000FD D4=00000000 D5=24690095 D6=000000FF D7=00000000 xnzvc
00:0AE6  48 80  EXT.W   D0                       A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=00000000 A5=FFFF8048 A6=E3980000 A7=00FF0BF4 D0=000000FF D1=00000000 D2=0000FFFF D3=000000FD D4=00000000 D5=24690095 D6=000000FF D7=00000000 xNzvc
00:0AE8  D1 43  ADDX.W  D3,D0                    A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=00000000 A5=FFFF8048 A6=E3980000 A7=00FF0BF4 D0=0000FFFF D1=00000000 D2=0000FFFF D3=000000FD D4=00000000 D5=24690095 D6=000000FF D7=00000000 xNzvc
00:0AEA  39 40  MOVE.W  D0,$C900(A4)             A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=00000000 A5=FFFF8048 A6=E3980000 A7=00FF0BF4 D0=000000FC D1=00000000 D2=0000FFFF D3=000000FD D4=00000000 D5=24690095 D6=000000FF D7=00000000 XnzvC
00:0AEE  39 43  MOVE.W  D3,$D202(A4)             A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=00000000 A5=FFFF8048 A6=E3980000 A7=00FF0BF4 D0=000000FC D1=00000000 D2=0000FFFF D3=000000FD D4=00000000 D5=24690095 D6=000000FF D7=00000000 Xnzvc
00:0AF2  4E 75  RTS                              A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=00000000 A5=FFFF8048 A6=E3980000 A7=00FF0BF4 D0=000000FC D1=00000000 D2=0000FFFF D3=000000FD D4=00000000 D5=24690095 D6=000000FF D7=00000000 Xnzvc
01:AD8E  58 4C  ADDQ.W  #4,A4                    A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=00000000 A5=FFFF8048 A6=E3980000 A7=00FF0BF8 D0=000000FC D1=00000000 D2=0000FFFF D3=000000FD D4=00000000 D5=24690095 D6=000000FF D7=00000000 Xnzvc
01:AD90  B8 FC  CMPA.W  #$00F0,A4                A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=00000004 A5=FFFF8048 A6=E3980000 A7=00FF0BF8 D0=000000FC D1=00000000 D2=0000FFFF D3=000000FD D4=00000000 D5=24690095 D6=000000FF D7=00000000 Xnzvc
01:AD94  66 D0  BNE     #$D0 [01:AD66]           A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=00000004 A5=FFFF8048 A6=E3980000 A7=00FF0BF8 D0=000000FC D1=00000000 D2=0000FFFF D3=000000FD D4=00000000 D5=24690095 D6=000000FF D7=00000000 XNzvC
01:AD66  4A 38  TST.B   ($A39C)                  A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=00000004 A5=FFFF8048 A6=E3980000 A7=00FF0BF8 D0=000000FC D1=00000000 D2=0000FFFF D3=000000FD D4=00000000 D5=24690095 D6=000000FF D7=00000000 XNzvC
01:AD6A  6B 10  BMI     #$10 [01:AD7C]           A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=00000004 A5=FFFF8048 A6=E3980000 A7=00FF0BF8 D0=000000FC D1=00000000 D2=0000FFFF D3=000000FD D4=00000000 D5=24690095 D6=000000FF D7=00000000 XnZvc
01:AD6C  0C 6C  CMPI.W  #$FFF0,$C900(A4)         A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=00000004 A5=FFFF8048 A6=E3980000 A7=00FF0BF8 D0=000000FC D1=00000000 D2=0000FFFF D3=000000FD D4=00000000 D5=24690095 D6=000000FF D7=00000000 XnZvc
01:AD72  66 16  BNE     #$16 [01:AD8A]           A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=00000004 A5=FFFF8048 A6=E3980000 A7=00FF0BF8 D0=000000FC D1=00000000 D2=0000FFFF D3=000000FD D4=00000000 D5=24690095 D6=000000FF D7=00000000 XnzvC
01:AD8A  4E B8  JSR     ($0AD6)                  A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=00000004 A5=FFFF8048 A6=E3980000 A7=00FF0BF8 D0=000000FC D1=00000000 D2=0000FFFF D3=000000FD D4=00000000 D5=24690095 D6=000000FF D7=00000000 XnzvC
00:0AD6  10 2C  MOVE.B  $CA03(A4),D0             A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=00000004 A5=FFFF8048 A6=E3980000 A7=00FF0BF4 D0=000000FC D1=00000000 D2=0000FFFF D3=000000FD D4=00000000 D5=24690095 D6=000000FF D7=00000000 XnzvC
00:0ADA  D1 2C  ADD.B   D0,$C902(A4)             A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=00000004 A5=FFFF8048 A6=E3980000 A7=00FF0BF4 D0=00000060 D1=00000000 D2=0000FFFF D3=000000FD D4=00000000 D5=24690095 D6=000000FF D7=00000000 Xnzvc
00:0ADE  36 2C  MOVE.W  $C900(A4),D3             A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=00000004 A5=FFFF8048 A6=E3980000 A7=00FF0BF4 D0=00000060 D1=00000000 D2=0000FFFF D3=000000FD D4=00000000 D5=24690095 D6=000000FF D7=00000000 xnzvc
00:0AE2  10 2C  MOVE.B  $CA02(A4),D0             A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=00000004 A5=FFFF8048 A6=E3980000 A7=00FF0BF4 D0=00000060 D1=00000000 D2=0000FFFF D3=0000010A D4=00000000 D5=24690095 D6=000000FF D7=00000000 xnzvc
00:0AE6  48 80  EXT.W   D0                       A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=00000004 A5=FFFF8048 A6=E3980000 A7=00FF0BF4 D0=000000FF D1=00000000 D2=0000FFFF D3=0000010A D4=00000000 D5=24690095 D6=000000FF D7=00000000 xNzvc
00:0AE8  D1 43  ADDX.W  D3,D0                    A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=00000004 A5=FFFF8048 A6=E3980000 A7=00FF0BF4 D0=0000FFFF D1=00000000 D2=0000FFFF D3=0000010A D4=00000000 D5=24690095 D6=000000FF D7=00000000 xNzvc
00:0AEA  39 40  MOVE.W  D0,$C900(A4)             A0=0001AB28 A1=FFFF8A7F A2=00C00000 A3=00FF2948 A4=00000004 A5=FFFF8048 A6=E3980000 A7=00FF0BF4 D0=00000109 D1=00000000 D2=0000FFFF D3=0000010A D4=00000000 D5=24690095 D6=000000FF D7=00000000 XnzvC
